상품상태,카테고리ID,상품명,판매가,재고수량,대표 이미지 파일명,상품 상세정보,판매자 상품코드,제조사,브랜드,부가세,원산지 직접입력,배송방법,배송비 유형,기본배송비,배송비 결제방식,반품배송비,교환배송비,지역별 차등배송비 정보,옵션형태,대카테고리,중카테고리,소카테고리
렌탈상품,52861084,렌탈 블렌더 스탠다드 4038,3616049,234,7243441863_GXGAipAPkh_1756948883_img79.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH7061601,LG,LG,과세상품,일본,직배송,수량별,3000,착불 또는 선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,렌탈서비스,블렌더
신상품,58585149,오븐 프리미엄 5748,1975602,418,5613893866_DzVSupSGxz_1756948883_img38.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 오븐, 220V, 소비전력 3.5kW, 크기 1200x800x600mm</div>",CH6449203,델롱기,델롱기,과세상품,미국,"택배, 소포, 등기",수량별,10000,착불 또는 선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,오븐
중고상품,56177207,그릴 스탠다드 9437,4718365,236,3292536082_GisMefLFRO_1756948883_img64.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH7899345,네스프레소,네스프레소,과세상품,일본,렌탈배송,수량별,15000,착불 또는 선결제,15000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,양도양수,그릴
렌탈상품,59171227,렌탈 냉장고 프리미엄 5275,3558449,625,7381681536_dRPxlVzPLb_1756948883_img94.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH9033307,삼성,삼성,과세상품,미국,화물배송,무료,3000,선결제,3000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,냉장고
신상품,52270402,양도양수 커피머신 프리미엄 8142,2861508,129,8782524127_RkUVOovupC_1756948883_img40.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH8429857,키친에이드,키친에이드,과세상품,대한민국,"택배, 소포, 등기",무료,3000,선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,커피머신
렌탈상품,57051962,렌탈 그릴 스탠다드 9993,589178,802,5368088895_oLTiImJYcP_1756948883_img27.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH6234696,쿠진아트,쿠진아트,과세상품,미국,"택배, 소포, 등기",무료,3000,선결제,10000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,양도양수,그릴
신상품,58831745,양도양수 식기세척기 스탠다드 3830,3056660,957,7481362556_PpiwLDamMl_1756948883_img67.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH9813556,네스프레소,네스프레소,과세상품,대한민국,렌탈배송,무료,12000,선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,렌탈서비스,식기세척기
렌탈상품,58669675,렌탈 냉장고 스탠다드 3156,4651381,352,4637047894_PhsvYZMpqx_1756948883_img99.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH4202565,네스프레소,네스프레소,과세상품,중국,화물배송,유료,3000,착불 또는 선결제,15000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,냉장고
렌탈상품,57496814,렌탈 토스터 스탠다드 5198,1018568,106,7522580243_xkqApETJAc_1756948883_img30.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH3499605,네스프레소,네스프레소,과세상품,중국,"택배, 소포, 등기",유료,15000,착불 또는 선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,토스터
신상품,55789974,양도양수 믹서 프리미엄 7912,4575603,347,8287776114_ubZyOgoJje_1756948883_img42.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH5185799,LG,LG,과세상품,미국,화물배송,유료,12000,착불 또는 선결제,0,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,믹서
렌탈상품,52886415,렌탈 렌탈계약 프리미엄 8327,2506000,574,1090413713_YUzVfSwasr_1756948883_img91.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 렌탈계약, 렌탈 계약서, 계약 기간 1-5년</div>",CH2397340,네스프레소,네스프레소,과세상품,미국,직배송,유료,12000,착불 또는 선결제,10000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,계약관리,렌탈계약
중고상품,55801963,양도양수 냉장고 프리미엄 7989,3132689,659,4760745241_gCmRgWmtaa_1756948883_img76.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH5134810,삼성,삼성,과세상품,일본,렌탈배송,유료,3000,착불 또는 선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,상업용기기,냉장고
중고상품,53317545,양도양수 냉장고 프리미엄 7122,66691,987,3982941354_WoVuenDlHa_1756948883_img58.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH2457597,키친에이드,키친에이드,과세상품,미국,화물배송,유료,12000,착불 또는 선결제,10000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,냉장고
신상품,58720139,양도양수 오븐 스탠다드 8008,1366152,984,3601793093_EbLCCLPJzi_1756948883_img54.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 오븐, 220V, 소비전력 3.5kW, 크기 1200x800x600mm</div>",CH2437783,쿠진아트,쿠진아트,과세상품,중국,화물배송,유료,10000,착불 또는 선결제,3000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,오븐
렌탈상품,57997060,렌탈 토스터 스탠다드 8500,164433,394,2401151165_ZISAnMIQMF_1756948883_img12.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH3721504,쿠진아트,쿠진아트,과세상품,일본,화물배송,수량별,5000,착불 또는 선결제,5000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,토스터
렌탈상품,59397653,렌탈 주서기 스탠다드 5567,111405,313,2426800947_KBlpdCtwoj_1756948883_img53.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH6496487,LG,LG,과세상품,이탈리아,"택배, 소포, 등기",수량별,10000,착불 또는 선결제,5000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,주서기
신상품,58770688,제빙기 프리미엄 9319,2587394,34,3629141091_mhZfzAgqDV_1756948883_img87.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH2077015,LG,LG,과세상품,대한민국,화물배송,무료,5000,선결제,0,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,계약관리,제빙기
중고상품,53653324,블렌더 프리미엄 8214,4184694,715,2341933828_ejWfwpYVrg_1756948883_img42.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH3365863,키친에이드,키친에이드,과세상품,독일,"택배, 소포, 등기",유료,5000,착불 또는 선결제,10000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,블렌더
중고상품,56558080,양도양수 주서기 스탠다드 8321,1344455,455,8195116399_aGCHhOppsv_1756948883_img87.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH7213708,브레빌,브레빌,과세상품,중국,렌탈배송,유료,10000,착불 또는 선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,양도양수,주서기
신상품,59661608,냉장고 스탠다드 4300,4181355,226,5040268568_jMpLSqZYlt_1756948883_img69.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH6453068,델롱기,델롱기,과세상품,미국,"택배, 소포, 등기",수량별,12000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,냉장고
신상품,53736534,양도양수 식기세척기 스탠다드 5961,2778428,27,2225366261_TBGrzlVNwq_1756948883_img66.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH7653657,쿠진아트,쿠진아트,과세상품,이탈리아,"택배, 소포, 등기",무료,15000,선결제,5000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,식기세척기
렌탈상품,52987563,렌탈 그릴 스탠다드 2904,3809940,243,1177949069_KmQrabjZmh_1756948883_img58.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH5175056,네스프레소,네스프레소,과세상품,대한민국,화물배송,유료,10000,착불 또는 선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,상업용기기,그릴
렌탈상품,50258231,렌탈 스팀오븐 스탠다드 3161,2474880,962,1295964550_YcSjJSZnIi_1756948883_img82.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 스팀오븐, 220V, 소비전력 3.8kW, 크기 1200x800x700mm</div>",CH4203507,키친에이드,키친에이드,과세상품,이탈리아,"택배, 소포, 등기",무료,10000,선결제,5000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,상업용기기,스팀오븐
렌탈상품,59123238,렌탈 전자레인지 스탠다드 8313,387814,696,6550286242_fYUjOgDhck_1756948883_img45.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 전자레인지, 220V, 소비전력 1.0kW, 크기 500x300x300mm</div>",CH4990455,네스프레소,네스프레소,과세상품,독일,직배송,유료,12000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,전자레인지
렌탈상품,52169004,렌탈 토스터 스탠다드 4422,2393944,360,8573829911_qvuNUzcXro_1756948883_img63.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH6778129,보쉬,보쉬,과세상품,일본,화물배송,수량별,5000,착불 또는 선결제,0,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,토스터
중고상품,57430519,제빙기 스탠다드 2305,237829,577,2384136485_EprdVdytgV_1756948883_img73.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH5665593,델롱기,델롱기,과세상품,이탈리아,렌탈배송,수량별,15000,착불 또는 선결제,15000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,렌탈서비스,제빙기
신상품,57895711,주서기 스탠다드 8818,2935242,633,8681534796_CVxzILqufB_1756948883_img44.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 주서기, 220V, 소비전력 0.8kW, 크기 250x250x400mm</div>",CH7357960,키친에이드,키친에이드,과세상품,독일,"택배, 소포, 등기",무료,5000,선결제,15000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,주서기
중고상품,54221972,양도양수 믹서 스탠다드 5790,4368902,320,4487937520_pRrGGxappI_1756948883_img10.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH5484714,쿠진아트,쿠진아트,과세상품,독일,직배송,무료,12000,선결제,15000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,믹서
렌탈상품,56600622,렌탈 렌탈계약 스탠다드 7102,1981750,716,8120355590_dHWhQKtsgB_1756948883_img25.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 렌탈계약, 렌탈 계약서, 계약 기간 1-5년</div>",CH2919145,쿠진아트,쿠진아트,과세상품,독일,화물배송,무료,5000,선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,렌탈계약
신상품,58556677,양도양수 스팀오븐 스탠다드 1161,2838462,547,5255959369_RNkhJNjqok_1756948883_img61.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 스팀오븐, 220V, 소비전력 3.8kW, 크기 1200x800x700mm</div>",CH9808311,키친에이드,키친에이드,과세상품,대한민국,"택배, 소포, 등기",무료,12000,선결제,10000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,스팀오븐
중고상품,53334894,제빙기 스탠다드 1705,497216,618,8027558638_eLFcxkOWON_1756948883_img30.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH2506390,LG,LG,과세상품,독일,화물배송,무료,3000,선결제,3000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,계약관리,제빙기
신상품,51879659,양도양수 식기세척기 프리미엄 8518,235490,692,9609245993_WNipBllvai_1756948883_img38.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH3354058,삼성,삼성,과세상품,일본,"택배, 소포, 등기",유료,10000,착불 또는 선결제,5000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,식기세척기
중고상품,50837116,냉장고 프리미엄 9116,180098,664,9866591812_CISPSwiDbY_1756948883_img73.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH1565489,삼성,삼성,과세상품,미국,직배송,유료,10000,착불 또는 선결제,0,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,렌탈서비스,냉장고
렌탈상품,56345017,렌탈 스팀오븐 스탠다드 2466,3657463,336,5542913582_yiZMPLaoqA_1756948883_img75.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 스팀오븐, 220V, 소비전력 3.8kW, 크기 1200x800x700mm</div>",CH4792521,브레빌,브레빌,과세상품,수입산_아시아_중국,렌탈배송,유료,3000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,스팀오븐
중고상품,50778763,양도양수 식기세척기 스탠다드 9433,2976796,461,6931123133_nJNeIRiJIC_1756948883_img63.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 식기세척기, 220V, 소비전력 1.8kW, 크기 600x600x850mm</div>",CH8270072,쿠진아트,쿠진아트,과세상품,미국,화물배송,무료,12000,선결제,15000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,식기세척기
신상품,58328530,양도양수 오븐 스탠다드 2353,184243,882,1284687358_oxpKkYcDVY_1756948883_img29.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 오븐, 220V, 소비전력 3.5kW, 크기 1200x800x600mm</div>",CH7235094,네스프레소,네스프레소,과세상품,이탈리아,렌탈배송,유료,0,착불 또는 선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,가정용기기,오븐
중고상품,59541896,믹서 프리미엄 4155,2362518,319,5095663226_FXmlYTxgUr_1756948883_img50.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH9922727,델롱기,델롱기,과세상품,일본,화물배송,무료,5000,선결제,0,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,유지보수,믹서
중고상품,57480581,믹서 스탠다드 9917,2563518,498,7132904928_jYVqNAQxlG_1756948883_img52.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH3841329,키친에이드,키친에이드,과세상품,중국,렌탈배송,유료,15000,착불 또는 선결제,10000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,믹서
신상품,57787879,양도양수 커피머신 프리미엄 3524,3510480,86,6949756976_VzANidyrRz_1756948883_img73.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 커피머신, 220V, 소비전력 1.2kW, 크기 300x400x400mm</div>",CH4664408,브레빌,브레빌,과세상품,일본,직배송,수량별,12000,착불 또는 선결제,0,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,커피머신
렌탈상품,51454909,렌탈 오븐 스탠다드 4639,3800818,46,5489725490_bwFGOJzOfD_1756948883_img19.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 오븐, 220V, 소비전력 3.5kW, 크기 1200x800x600mm</div>",CH2749689,보쉬,보쉬,과세상품,일본,렌탈배송,유료,3000,착불 또는 선결제,0,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/유지보수,렌탈서비스,오븐
신상품,55499846,토스터 스탠다드 6852,3739125,258,4012595117_diFYROLXMd_1756948883_img49.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 5년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 토스터, 220V, 소비전력 0.9kW, 크기 300x200x200mm</div>",CH1758004,보쉬,보쉬,과세상품,미국,"택배, 소포, 등기",수량별,12000,착불 또는 선결제,0,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,토스터
신상품,59611365,양도양수 믹서 프리미엄 3193,195317,590,1224249477_rdfwSADGyH_1756948883_img64.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 1년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH5353902,브레빌,브레빌,과세상품,일본,화물배송,수량별,3000,착불 또는 선결제,5000,20000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,렌탈서비스,믹서
신상품,56101132,양도양수 제빙기 스탠다드 8914,4048824,400,3433399418_uPiTFflrKN_1756948883_img40.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 4년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 제빙기, 220V, 소비전력 1.5kW, 크기 600x500x800mm</div>",CH2116639,보쉬,보쉬,과세상품,중국,"택배, 소포, 등기",수량별,15000,착불 또는 선결제,3000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,렌탈서비스/계약관리,양도양수,제빙기
렌탈상품,57349881,렌탈 그릴 스탠다드 4906,3838880,851,6271145704_sHdFwBcIJK_1756948883_img27.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 그릴, 220V, 소비전력 2.5kW, 크기 700x400x200mm</div>",CH6760554,LG,LG,과세상품,일본,"택배, 소포, 등기",무료,0,선결제,5000,10000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,유지보수,그릴
중고상품,57064265,믹서 프리미엄 9555,949448,619,6260376396_siTqHHfDLm_1756948883_img45.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 믹서, 220V, 소비전력 0.5kW, 크기 200x200x400mm</div>",CH2983045,LG,LG,과세상품,일본,렌탈배송,무료,5000,선결제,10000,0,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방장비/렌탈/양도양수,계약관리,믹서
중고상품,50659495,냉장고 스탠다드 3041,1935144,909,3470150249_mZrgBuAdvJ_1756948883_img32.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 3년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 냉장고, 220V, 소비전력 2.0kW, 크기 1800x900x800mm</div>",CH1547702,LG,LG,과세상품,수입산_아시아_중국,화물배송,유료,15000,착불 또는 선결제,5000,30000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/상업용,렌탈서비스,냉장고
중고상품,55963899,양도양수 블렌더 프리미엄 1384,4769747,723,4386210533_zmSsxKzSPp_1756948883_img67.jpg,"<p>주방 장비 렌탈 및 양도양수 관련 상세 정보. 렌탈 기간: 2년, 양도 조건: 계약 양도 가능.</p><br><img src=""https://example.com/img.jpg"" /><div>제품 사양: 블렌더, 220V, 소비전력 0.7kW, 크기 200x200x450mm</div>",CH4665798,키친에이드,키친에이드,과세상품,대한민국,직배송,무료,10000,선결제,10000,6000,제주배송비: 3000 / 도서산간배송비: 5000,조합형,주방기기/가정용,렌탈서비스,블렌더
