회원ID,나이,성별,거주지,테니스_경험_연수,주_이용_시간대,선호_코치_스타일,선호_레슨_방식,경기_빈도,최근_경기_성적,선호_훈련_목표,선호_테니스_센터_유형,모바일_앱_사용_빈도,소비_성향
M190,49,F,서울 송파구,3-5년,주말 오전,동기부여 중심,1:1,월 1회 미만,,대회 준비,미입력,주 1회 미만,10-30만 원
M191,21,M,서울 강남구,5년 이상,주말 오전,엄격한 피드백,온라인,주 2회,0승 3패,대회 준비,실내 코트,미사용,10만 원 미만
M192,20,M,강원 원주시,5년 이상,주말 저녁,친절한 지도,그룹,주 1회,2승 0패,취미 유지,시설 완비,주 1회 미만,30만 원 이상
M193,41,M,서울 강남구,0-1년,주말 오전,친절한 지도,그룹,주 1회,0승 1패,대회 준비,시설 완비,주 1회 미만,30만 원 이상
M194,44,F,인천 연수구,3-5년,평일 오전,친절한 지도,온라인,월 1회 미만,3승 3패,대회 준비,접근성,주 1회 미만,10-30만 원
M195,54,M,서울 서초구,5년 이상,평일 오전,친절한 지도,그룹,주 1회,1승 0패,실력 향상,실내 코트,매일,10-30만 원
M196,33,M,인천 남동구,3-5년,평일 저녁,엄격한 피드백,그룹,주 2회,3승 3패,체력 증진,시설 완비,주 1회 미만,30만 원 이상
M197,40,M,대구 달서구,0-1년,평일 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,실내 코트,주 1회 미만,30만 원 이상
M198,31,기타,대전 서구,5년 이상,평일 오전,엄격한 피드백,그룹,월 2-3회,3승 3패,취미 유지,접근성,주 1회 미만,10-30만 원
M199,48,F,광주 북구,1-3년,평일 오전,친절한 지도,1:1,월 2-3회,,체력 증진,접근성,미사용,10-30만 원
M200,31,M,서울 강남구,3-5년,평일 오후,친절한 지도,그룹,월 2-3회,2승 0패,대회 준비,실내 코트,주 1-2회,10만 원 미만
M201,37,F,부산 해운대구,1-3년,주말 오전,동기부여 중심,1:1,월 2-3회,,실력 향상,시설 완비,매일,30만 원 이상
M202,21,M,경기 성남시,0-1년,평일 오전,엄격한 피드백,그룹,주 1회,2승 1패,대회 준비,접근성,매일,30만 원 이상
M203,33,M,대전 서구,3-5년,주말 저녁,엄격한 피드백,그룹,월 1회 미만,,대회 준비,미입력,주 1회 미만,10만 원 미만
M204,44,F,서울 강남구,1-3년,주말 저녁,친절한 지도,온라인,월 1회 미만,3승 3패,대회 준비,야외 코트,매일,30만 원 이상
M205,36,F,대구 달서구,1-3년,평일 오전,동기부여 중심,1:1,주 2회,0승 3패,취미 유지,야외 코트,주 1-2회,10-30만 원
M206,28,M,서울 마포구,1-3년,주말 오전,동기부여 중심,그룹,주 2회,,체력 증진,시설 완비,미사용,10만 원 미만
M207,36,F,경기 성남시,1-3년,평일 오전,엄격한 피드백,1:1,월 2-3회,3승 1패,실력 향상,접근성,미사용,30만 원 이상
M208,44,F,인천 남동구,1-3년,평일 오전,동기부여 중심,그룹,주 1회,1승 1패,실력 향상,접근성,주 1-2회,10만 원 미만
M209,43,M,대구 수성구,5년 이상,평일 저녁,엄격한 피드백,그룹,주 2회,0승 2패,취미 유지,야외 코트,주 1-2회,10만 원 미만
M210,31,F,경기 성남시,5년 이상,평일 오전,엄격한 피드백,온라인,월 2-3회,3승 2패,대회 준비,접근성,미사용,30만 원 이상
M211,49,기타,인천 남동구,0-1년,주말 오전,동기부여 중심,온라인,주 2회,1승 1패,취미 유지,시설 완비,주 1회 미만,10만 원 미만
M212,46,M,서울 송파구,3-5년,주말 저녁,친절한 지도,온라인,주 2회,,취미 유지,실내 코트,매일,10-30만 원
M213,31,M,대전 서구,1-3년,평일 오후,엄격한 피드백,그룹,월 2-3회,2승 3패,취미 유지,접근성,주 1회 미만,10-30만 원
M214,44,M,부산 해운대구,0-1년,주말 오전,친절한 지도,그룹,주 1회,0승 2패,대회 준비,접근성,미사용,30만 원 이상
M215,34,F,대구 수성구,5년 이상,평일 오후,동기부여 중심,온라인,월 1회 미만,,대회 준비,시설 완비,매일,10만 원 미만
M216,37,M,부산 수영구,3-5년,주말 저녁,친절한 지도,그룹,월 1회 미만,,실력 향상,야외 코트,미사용,10만 원 미만
M217,39,M,서울 마포구,1-3년,평일 저녁,친절한 지도,1:1,월 2-3회,,대회 준비,실내 코트,매일,30만 원 이상
M218,42,M,경기 성남시,5년 이상,평일 저녁,친절한 지도,온라인,월 2-3회,1승 1패,대회 준비,야외 코트,미사용,10-30만 원
M219,39,F,대구 달서구,3-5년,평일 오전,미입력,그룹,주 2회,3승 2패,대회 준비,시설 완비,주 1회 미만,10-30만 원
M220,48,F,대구 수성구,5년 이상,평일 오후,친절한 지도,그룹,월 2-3회,3승 0패,취미 유지,실내 코트,매일,10만 원 미만
M221,39,M,서울 송파구,5년 이상,평일 오전,동기부여 중심,1:1,주 2회,,대회 준비,실내 코트,주 1-2회,10-30만 원
M222,10,M,광주 광산구,1-3년,평일 오전,친절한 지도,1:1,주 1회,,체력 증진,미입력,미사용,30만 원 이상
M223,35,M,대구 수성구,0-1년,평일 오전,친절한 지도,그룹,주 1회,,실력 향상,실내 코트,미사용,10만 원 미만
M224,14,M,서울 서초구,5년 이상,평일 오후,친절한 지도,그룹,주 2회,2승 2패,대회 준비,미입력,미사용,10-30만 원
M225,48,M,서울 영등포구,0-1년,평일 저녁,친절한 지도,온라인,월 1회 미만,1승 3패,취미 유지,시설 완비,매일,10-30만 원
M226,24,M,부산 수영구,0-1년,주말 저녁,미입력,1:1,주 2회,,체력 증진,야외 코트,매일,30만 원 이상
M227,34,M,대전 유성구,3-5년,주말 저녁,엄격한 피드백,그룹,주 2회,2승 3패,체력 증진,실내 코트,주 1-2회,10만 원 미만
M228,38,F,서울 영등포구,0-1년,주말 저녁,친절한 지도,온라인,월 2-3회,2승 0패,실력 향상,실내 코트,주 1-2회,30만 원 이상
M229,49,M,대구 수성구,0-1년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,,대회 준비,시설 완비,주 1-2회,30만 원 이상
M230,38,M,서울 강남구,5년 이상,주말 저녁,엄격한 피드백,온라인,월 2-3회,0승 2패,체력 증진,접근성,매일,10-30만 원
M231,48,M,서울 강남구,3-5년,평일 오후,친절한 지도,1:1,주 1회,0승 1패,취미 유지,실내 코트,미사용,10-30만 원
M232,41,F,대구 달서구,3-5년,평일 오전,동기부여 중심,그룹,월 1회 미만,,대회 준비,접근성,매일,30만 원 이상
M233,32,F,서울 강남구,1-3년,평일 오후,친절한 지도,그룹,주 2회,0승 2패,취미 유지,실내 코트,주 1회 미만,10만 원 미만
M234,38,F,대전 유성구,0-1년,주말 저녁,친절한 지도,1:1,주 2회,,대회 준비,접근성,주 1-2회,10-30만 원
M235,44,F,부산 해운대구,1-3년,평일 오후,엄격한 피드백,1:1,월 1회 미만,1승 2패,실력 향상,실내 코트,주 1-2회,10-30만 원
M236,47,F,부산 남구,5년 이상,주말 오전,친절한 지도,1:1,주 2회,1승 2패,체력 증진,접근성,매일,30만 원 이상
M237,25,F,서울 마포구,5년 이상,주말 오전,친절한 지도,온라인,월 2-3회,0승 1패,취미 유지,시설 완비,주 1회 미만,10-30만 원
M238,50,M,부산 수영구,1-3년,주말 저녁,미입력,그룹,주 2회,,대회 준비,시설 완비,미사용,10만 원 미만
M239,54,M,서울 송파구,3-5년,평일 오후,친절한 지도,온라인,월 2-3회,1승 3패,체력 증진,실내 코트,주 1-2회,10-30만 원
M240,47,M,인천 연수구,1-3년,주말 오전,엄격한 피드백,그룹,월 1회 미만,2승 2패,체력 증진,야외 코트,주 1-2회,30만 원 이상
M241,34,F,광주 북구,5년 이상,주말 저녁,엄격한 피드백,온라인,월 2-3회,2승 0패,체력 증진,야외 코트,미사용,10-30만 원
M242,31,M,경기 용인시,5년 이상,평일 오전,친절한 지도,1:1,월 1회 미만,,대회 준비,시설 완비,매일,30만 원 이상
M243,52,F,서울 마포구,3-5년,평일 저녁,동기부여 중심,온라인,주 2회,0승 1패,실력 향상,야외 코트,주 1회 미만,10-30만 원
M244,60,M,경기 성남시,0-1년,주말 저녁,친절한 지도,온라인,월 1회 미만,0승 1패,체력 증진,야외 코트,매일,10-30만 원
M245,30,F,대구 수성구,5년 이상,평일 오전,미입력,그룹,주 2회,0승 1패,체력 증진,시설 완비,미사용,30만 원 이상
M246,26,F,경기 성남시,3-5년,평일 저녁,친절한 지도,1:1,월 2-3회,0승 2패,체력 증진,미입력,주 1회 미만,10-30만 원
M247,39,M,부산 해운대구,0-1년,평일 저녁,친절한 지도,온라인,주 1회,,실력 향상,접근성,주 1-2회,10-30만 원
M248,60,F,대구 수성구,0-1년,평일 저녁,친절한 지도,1:1,주 1회,2승 1패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M249,30,M,서울 강남구,5년 이상,평일 오후,엄격한 피드백,온라인,주 2회,,체력 증진,시설 완비,주 1회 미만,10만 원 미만
M250,36,M,경기 성남시,1-3년,평일 저녁,동기부여 중심,1:1,월 1회 미만,2승 2패,대회 준비,접근성,주 1-2회,10만 원 미만
M251,38,F,서울 강남구,3-5년,주말 저녁,엄격한 피드백,온라인,월 2-3회,0승 0패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M252,29,M,강원 원주시,0-1년,주말 오전,미입력,그룹,월 2-3회,2승 0패,체력 증진,야외 코트,매일,10-30만 원
M253,32,M,부산 해운대구,0-1년,평일 오전,친절한 지도,1:1,월 1회 미만,2승 3패,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M254,27,F,광주 북구,1-3년,평일 오전,친절한 지도,온라인,월 1회 미만,,대회 준비,야외 코트,매일,10-30만 원
M255,54,F,경기 용인시,0-1년,평일 오후,동기부여 중심,그룹,월 2-3회,1승 2패,체력 증진,접근성,주 1회 미만,30만 원 이상
M256,45,M,부산 해운대구,1-3년,주말 오전,미입력,1:1,주 1회,3승 3패,체력 증진,접근성,주 1회 미만,10-30만 원
M257,39,M,부산 수영구,0-1년,평일 오전,동기부여 중심,그룹,월 2-3회,0승 2패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M258,24,M,서울 강남구,1-3년,평일 오전,동기부여 중심,온라인,월 2-3회,0승 2패,실력 향상,접근성,미사용,30만 원 이상
M259,36,F,서울 마포구,3-5년,주말 저녁,엄격한 피드백,1:1,월 1회 미만,,대회 준비,미입력,주 1-2회,10만 원 미만
M260,41,M,인천 연수구,1-3년,주말 오전,엄격한 피드백,온라인,월 2-3회,,대회 준비,실내 코트,미사용,10만 원 미만
M261,31,M,대전 유성구,5년 이상,평일 오후,엄격한 피드백,그룹,주 2회,2승 1패,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M262,19,M,서울 서초구,1-3년,주말 저녁,엄격한 피드백,그룹,주 2회,,체력 증진,실내 코트,미사용,30만 원 이상
M263,49,M,인천 연수구,1-3년,평일 오전,친절한 지도,1:1,주 2회,0승 1패,대회 준비,미입력,미사용,30만 원 이상
M264,36,M,서울 마포구,1-3년,평일 저녁,동기부여 중심,1:1,주 1회,0승 1패,실력 향상,시설 완비,주 1-2회,10만 원 미만
M265,34,F,서울 마포구,1-3년,평일 저녁,엄격한 피드백,1:1,주 2회,,취미 유지,야외 코트,주 1-2회,10-30만 원
M266,44,F,서울 영등포구,3-5년,평일 오후,동기부여 중심,1:1,월 1회 미만,,취미 유지,야외 코트,주 1-2회,10-30만 원
M267,45,M,대구 달서구,0-1년,주말 오전,엄격한 피드백,1:1,월 1회 미만,3승 1패,실력 향상,시설 완비,미사용,10-30만 원
M268,33,F,제주 서귀포시,3-5년,평일 오전,친절한 지도,온라인,월 1회 미만,2승 3패,체력 증진,접근성,매일,10만 원 미만
M269,30,M,서울 강남구,3-5년,주말 오전,미입력,온라인,월 2-3회,2승 0패,실력 향상,접근성,미사용,10만 원 미만
M270,42,F,서울 마포구,1-3년,주말 오전,엄격한 피드백,그룹,주 1회,2승 3패,대회 준비,야외 코트,주 1-2회,10-30만 원
M271,43,M,대구 달서구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,1승 2패,대회 준비,실내 코트,주 1-2회,10만 원 미만
M272,23,F,서울 서초구,3-5년,평일 오전,동기부여 중심,그룹,주 2회,3승 0패,체력 증진,접근성,주 1-2회,10만 원 미만
M273,32,M,인천 연수구,3-5년,평일 오후,동기부여 중심,그룹,월 2-3회,,체력 증진,실내 코트,주 1-2회,30만 원 이상
M274,46,M,대전 유성구,3-5년,주말 저녁,엄격한 피드백,그룹,주 2회,2승 2패,실력 향상,미입력,매일,10-30만 원
M275,41,M,부산 수영구,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,,대회 준비,미입력,주 1회 미만,10-30만 원
M276,28,F,대구 달서구,1-3년,평일 저녁,친절한 지도,그룹,주 2회,1승 3패,취미 유지,접근성,주 1회 미만,10-30만 원
M277,43,F,서울 송파구,1-3년,평일 오전,친절한 지도,그룹,주 1회,,체력 증진,미입력,주 1-2회,30만 원 이상
M278,32,M,서울 영등포구,1-3년,평일 오후,엄격한 피드백,1:1,월 1회 미만,,대회 준비,야외 코트,매일,30만 원 이상
M279,48,F,서울 서초구,5년 이상,주말 저녁,엄격한 피드백,그룹,주 1회,3승 2패,대회 준비,시설 완비,미사용,10만 원 미만
M280,24,F,부산 해운대구,5년 이상,평일 저녁,동기부여 중심,온라인,월 2-3회,,실력 향상,실내 코트,주 1-2회,10만 원 미만
M281,38,M,부산 해운대구,5년 이상,평일 저녁,친절한 지도,온라인,주 2회,2승 2패,체력 증진,접근성,주 1-2회,10만 원 미만
M282,47,M,대전 유성구,1-3년,평일 저녁,엄격한 피드백,온라인,월 2-3회,0승 2패,대회 준비,실내 코트,미사용,10-30만 원
M283,35,F,부산 수영구,3-5년,주말 저녁,미입력,온라인,월 2-3회,0승 2패,체력 증진,야외 코트,매일,10만 원 미만
M284,31,M,인천 연수구,3-5년,주말 오전,미입력,그룹,월 2-3회,1승 2패,실력 향상,실내 코트,주 1회 미만,10만 원 미만
M285,47,F,강원 원주시,3-5년,평일 저녁,엄격한 피드백,온라인,월 1회 미만,0승 2패,실력 향상,접근성,주 1회 미만,30만 원 이상
M286,34,M,경기 성남시,5년 이상,주말 저녁,친절한 지도,그룹,주 2회,3승 3패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M287,38,M,서울 강남구,0-1년,주말 오전,엄격한 피드백,1:1,주 1회,3승 3패,실력 향상,야외 코트,주 1회 미만,10-30만 원
M288,23,M,광주 북구,5년 이상,평일 오후,동기부여 중심,온라인,주 1회,3승 0패,체력 증진,실내 코트,주 1-2회,10만 원 미만
M289,35,M,광주 북구,5년 이상,평일 저녁,엄격한 피드백,1:1,주 1회,1승 1패,대회 준비,실내 코트,매일,10만 원 미만
M290,35,M,부산 해운대구,0-1년,평일 저녁,친절한 지도,1:1,월 2-3회,2승 3패,대회 준비,야외 코트,미사용,10-30만 원
M291,34,M,대구 수성구,1-3년,평일 오후,친절한 지도,1:1,월 2-3회,3승 1패,대회 준비,접근성,주 1-2회,10-30만 원
M292,25,M,서울 강남구,0-1년,평일 오후,엄격한 피드백,온라인,월 1회 미만,,실력 향상,접근성,주 1-2회,10-30만 원
M293,39,F,대구 달서구,5년 이상,평일 오전,친절한 지도,그룹,월 1회 미만,3승 2패,취미 유지,접근성,주 1회 미만,10-30만 원
M294,34,M,서울 서초구,5년 이상,주말 오전,친절한 지도,그룹,월 2-3회,2승 1패,대회 준비,시설 완비,매일,30만 원 이상
M295,36,M,서울 강남구,0-1년,주말 오전,엄격한 피드백,그룹,주 2회,,대회 준비,야외 코트,매일,30만 원 이상
M296,28,F,서울 송파구,5년 이상,평일 오전,동기부여 중심,그룹,월 1회 미만,,취미 유지,미입력,주 1-2회,10-30만 원
M297,20,M,서울 서초구,3-5년,평일 오후,엄격한 피드백,1:1,월 1회 미만,3승 1패,체력 증진,실내 코트,주 1회 미만,10만 원 미만
M298,40,F,제주 서귀포시,3-5년,평일 오전,동기부여 중심,그룹,주 2회,,실력 향상,야외 코트,매일,10만 원 미만
M299,42,F,대구 수성구,1-3년,주말 저녁,친절한 지도,1:1,주 1회,1승 3패,실력 향상,실내 코트,미사용,10-30만 원
M300,34,M,경기 성남시,3-5년,평일 오후,친절한 지도,1:1,주 1회,2승 2패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M301,42,F,광주 북구,1-3년,주말 저녁,동기부여 중심,1:1,월 2-3회,,대회 준비,실내 코트,주 1회 미만,30만 원 이상
M302,29,F,인천 연수구,1-3년,평일 저녁,엄격한 피드백,그룹,월 1회 미만,,대회 준비,실내 코트,매일,30만 원 이상
M303,36,F,부산 남구,1-3년,주말 저녁,친절한 지도,온라인,월 1회 미만,,체력 증진,시설 완비,주 1회 미만,10-30만 원
M304,42,F,인천 연수구,1-3년,주말 저녁,친절한 지도,온라인,월 2-3회,2승 1패,취미 유지,야외 코트,주 1-2회,30만 원 이상
M305,34,F,대전 유성구,0-1년,주말 오전,엄격한 피드백,1:1,주 2회,2승 0패,대회 준비,시설 완비,매일,30만 원 이상
M306,24,M,부산 수영구,1-3년,주말 오전,미입력,그룹,주 2회,,대회 준비,야외 코트,주 1-2회,10-30만 원
M307,34,F,서울 영등포구,1-3년,평일 오후,동기부여 중심,온라인,주 2회,,실력 향상,야외 코트,주 1회 미만,10만 원 미만
M308,38,F,서울 송파구,3-5년,주말 오전,친절한 지도,1:1,주 1회,1승 1패,취미 유지,실내 코트,매일,30만 원 이상
M309,36,F,부산 해운대구,5년 이상,주말 저녁,미입력,그룹,월 1회 미만,1승 0패,대회 준비,야외 코트,미사용,10만 원 미만
M310,34,F,부산 수영구,3-5년,평일 오후,친절한 지도,온라인,월 1회 미만,,대회 준비,실내 코트,미사용,30만 원 이상
M311,31,M,서울 서초구,5년 이상,주말 오전,미입력,그룹,월 2-3회,1승 1패,실력 향상,접근성,매일,30만 원 이상
M312,20,F,대구 수성구,0-1년,평일 오후,미입력,그룹,주 1회,2승 3패,대회 준비,시설 완비,미사용,10-30만 원
M313,22,F,대전 유성구,1-3년,평일 오후,친절한 지도,온라인,주 1회,0승 3패,체력 증진,야외 코트,미사용,10-30만 원
M314,34,F,서울 마포구,0-1년,평일 저녁,동기부여 중심,1:1,주 2회,3승 2패,대회 준비,접근성,매일,10만 원 미만
M315,41,F,대구 수성구,0-1년,평일 오후,엄격한 피드백,1:1,주 2회,2승 3패,취미 유지,미입력,매일,10-30만 원
M316,30,F,서울 강남구,3-5년,평일 오전,친절한 지도,그룹,월 1회 미만,,실력 향상,야외 코트,매일,10만 원 미만
M317,44,M,서울 서초구,5년 이상,주말 오전,엄격한 피드백,온라인,주 1회,0승 0패,체력 증진,미입력,매일,30만 원 이상
M318,53,M,서울 마포구,0-1년,평일 오후,친절한 지도,그룹,주 1회,,실력 향상,접근성,주 1-2회,30만 원 이상
M319,34,M,서울 서초구,5년 이상,평일 오후,친절한 지도,온라인,월 1회 미만,,실력 향상,시설 완비,주 1회 미만,10만 원 미만
M320,34,M,경기 성남시,0-1년,주말 저녁,친절한 지도,그룹,주 1회,0승 1패,취미 유지,야외 코트,주 1-2회,10-30만 원
M321,32,F,서울 강남구,5년 이상,주말 오전,엄격한 피드백,그룹,월 2-3회,,실력 향상,실내 코트,미사용,30만 원 이상
M322,43,F,서울 서초구,1-3년,평일 저녁,엄격한 피드백,1:1,주 2회,,취미 유지,실내 코트,미사용,30만 원 이상
M323,56,M,인천 남동구,5년 이상,주말 저녁,친절한 지도,1:1,주 1회,,대회 준비,시설 완비,매일,30만 원 이상
M324,36,M,서울 마포구,1-3년,주말 저녁,미입력,그룹,월 1회 미만,,실력 향상,야외 코트,주 1회 미만,10-30만 원
M325,36,F,서울 강남구,3-5년,평일 저녁,엄격한 피드백,온라인,월 2-3회,1승 0패,취미 유지,미입력,주 1-2회,10-30만 원
M326,31,M,인천 남동구,0-1년,평일 오후,엄격한 피드백,1:1,월 1회 미만,3승 1패,대회 준비,야외 코트,주 1회 미만,10만 원 미만
M327,21,M,서울 송파구,0-1년,평일 저녁,동기부여 중심,1:1,월 2-3회,,취미 유지,접근성,주 1회 미만,10만 원 미만
M328,48,F,서울 송파구,5년 이상,주말 오전,친절한 지도,그룹,주 2회,0승 2패,실력 향상,야외 코트,주 1-2회,10만 원 미만
M329,38,M,대전 유성구,3-5년,평일 오후,미입력,그룹,주 1회,2승 2패,체력 증진,실내 코트,주 1-2회,30만 원 이상
M330,20,F,서울 송파구,3-5년,주말 저녁,동기부여 중심,1:1,주 1회,2승 1패,대회 준비,야외 코트,매일,10만 원 미만
M331,37,M,부산 해운대구,1-3년,평일 오전,동기부여 중심,그룹,주 2회,0승 0패,실력 향상,미입력,미사용,30만 원 이상
M332,27,F,서울 서초구,3-5년,평일 저녁,동기부여 중심,그룹,월 2-3회,0승 1패,실력 향상,실내 코트,미사용,10만 원 미만
M333,22,M,경기 성남시,5년 이상,주말 오전,동기부여 중심,1:1,주 2회,,체력 증진,시설 완비,주 1-2회,10-30만 원
M334,42,F,대구 달서구,3-5년,평일 저녁,친절한 지도,온라인,주 1회,3승 3패,실력 향상,실내 코트,매일,10-30만 원
M335,58,M,광주 광산구,3-5년,주말 저녁,친절한 지도,1:1,주 2회,1승 0패,체력 증진,미입력,미사용,10-30만 원
M336,37,M,대구 수성구,5년 이상,평일 저녁,미입력,온라인,주 1회,,대회 준비,시설 완비,주 1-2회,30만 원 이상
M337,23,F,경기 성남시,5년 이상,평일 오후,미입력,그룹,주 2회,,취미 유지,접근성,주 1-2회,10-30만 원
M338,39,F,경기 성남시,3-5년,주말 오전,미입력,1:1,주 2회,,체력 증진,시설 완비,주 1-2회,30만 원 이상
M339,30,M,인천 남동구,3-5년,주말 저녁,친절한 지도,1:1,주 2회,2승 2패,대회 준비,접근성,미사용,10-30만 원
M340,35,F,부산 해운대구,5년 이상,평일 오전,친절한 지도,1:1,월 1회 미만,1승 3패,대회 준비,야외 코트,주 1회 미만,10-30만 원
M341,35,M,대전 유성구,3-5년,평일 오후,친절한 지도,온라인,주 1회,3승 0패,대회 준비,실내 코트,주 1회 미만,10만 원 미만
M342,38,F,인천 남동구,0-1년,주말 오전,친절한 지도,1:1,주 1회,3승 0패,실력 향상,접근성,주 1회 미만,10만 원 미만
M343,34,F,서울 마포구,0-1년,주말 오전,미입력,그룹,월 1회 미만,3승 2패,체력 증진,야외 코트,미사용,10만 원 미만
M344,36,F,인천 연수구,5년 이상,주말 저녁,친절한 지도,온라인,월 2-3회,0승 1패,취미 유지,실내 코트,주 1회 미만,10-30만 원
M345,29,M,인천 남동구,3-5년,주말 저녁,친절한 지도,온라인,주 2회,,취미 유지,시설 완비,주 1-2회,30만 원 이상
M346,10,M,대전 서구,5년 이상,주말 저녁,친절한 지도,온라인,주 2회,2승 1패,체력 증진,미입력,미사용,10-30만 원
M347,39,F,서울 마포구,0-1년,주말 저녁,동기부여 중심,온라인,주 1회,2승 1패,체력 증진,실내 코트,매일,10-30만 원
M348,45,F,서울 마포구,3-5년,평일 오후,친절한 지도,그룹,주 2회,3승 0패,대회 준비,시설 완비,미사용,30만 원 이상
M349,48,M,강원 원주시,0-1년,주말 저녁,엄격한 피드백,그룹,월 2-3회,0승 2패,체력 증진,실내 코트,미사용,30만 원 이상
M350,47,M,대구 달서구,5년 이상,평일 오후,엄격한 피드백,그룹,월 2-3회,1승 3패,대회 준비,실내 코트,주 1-2회,30만 원 이상
M351,31,M,인천 남동구,0-1년,주말 저녁,친절한 지도,온라인,주 1회,0승 3패,체력 증진,실내 코트,주 1회 미만,10-30만 원
M352,34,M,인천 남동구,3-5년,주말 저녁,엄격한 피드백,1:1,주 2회,0승 3패,실력 향상,야외 코트,주 1회 미만,30만 원 이상
M353,40,F,대구 수성구,1-3년,평일 오전,엄격한 피드백,그룹,주 2회,,대회 준비,미입력,주 1회 미만,10만 원 미만
M354,45,F,대구 달서구,3-5년,주말 저녁,동기부여 중심,온라인,월 1회 미만,3승 2패,실력 향상,야외 코트,미사용,10-30만 원
M355,38,F,서울 마포구,0-1년,평일 오후,친절한 지도,1:1,주 2회,,취미 유지,실내 코트,주 1-2회,10-30만 원
M356,50,M,경기 성남시,3-5년,평일 오후,엄격한 피드백,그룹,주 1회,,대회 준비,시설 완비,주 1-2회,30만 원 이상
M357,45,기타,부산 수영구,5년 이상,평일 오후,친절한 지도,온라인,월 1회 미만,2승 3패,대회 준비,시설 완비,매일,10-30만 원
M358,40,M,인천 남동구,1-3년,평일 오전,동기부여 중심,그룹,월 1회 미만,2승 2패,실력 향상,접근성,매일,10-30만 원
M359,23,F,서울 서초구,1-3년,평일 오후,엄격한 피드백,1:1,월 2-3회,0승 0패,취미 유지,접근성,매일,30만 원 이상
M360,41,F,광주 북구,0-1년,평일 저녁,친절한 지도,그룹,월 2-3회,3승 3패,취미 유지,야외 코트,주 1-2회,30만 원 이상
M361,22,F,대구 달서구,5년 이상,평일 오후,동기부여 중심,온라인,주 2회,2승 1패,실력 향상,접근성,주 1-2회,30만 원 이상
M362,41,F,광주 광산구,5년 이상,주말 저녁,엄격한 피드백,온라인,월 2-3회,3승 3패,체력 증진,실내 코트,미사용,10만 원 미만
M363,26,M,대전 서구,5년 이상,주말 저녁,엄격한 피드백,1:1,월 1회 미만,2승 2패,대회 준비,실내 코트,주 1회 미만,10-30만 원
M364,20,F,부산 남구,0-1년,주말 저녁,엄격한 피드백,그룹,주 1회,2승 0패,체력 증진,실내 코트,주 1-2회,10-30만 원
M365,49,F,광주 북구,3-5년,평일 오후,친절한 지도,온라인,월 1회 미만,1승 1패,체력 증진,접근성,미사용,30만 원 이상
M366,48,M,부산 수영구,0-1년,평일 저녁,엄격한 피드백,1:1,월 2-3회,0승 3패,실력 향상,미입력,미사용,30만 원 이상
M367,37,M,서울 서초구,5년 이상,평일 저녁,친절한 지도,1:1,주 1회,,실력 향상,접근성,미사용,10-30만 원
M368,27,M,경기 용인시,3-5년,평일 오전,엄격한 피드백,온라인,월 2-3회,0승 2패,실력 향상,실내 코트,주 1회 미만,30만 원 이상
M369,29,F,서울 마포구,5년 이상,주말 오전,동기부여 중심,그룹,주 2회,0승 2패,실력 향상,실내 코트,주 1회 미만,10-30만 원
M370,36,M,강원 원주시,1-3년,주말 저녁,친절한 지도,1:1,주 1회,,대회 준비,야외 코트,주 1-2회,10-30만 원
M371,38,F,경기 용인시,3-5년,평일 오후,엄격한 피드백,온라인,주 1회,0승 3패,실력 향상,실내 코트,매일,10만 원 미만
M372,29,F,강원 원주시,3-5년,평일 오전,엄격한 피드백,1:1,월 2-3회,3승 2패,체력 증진,시설 완비,주 1-2회,30만 원 이상
M373,35,M,경기 용인시,1-3년,평일 오후,친절한 지도,그룹,주 1회,2승 1패,실력 향상,실내 코트,주 1-2회,10만 원 미만
M374,33,F,서울 송파구,5년 이상,주말 오전,동기부여 중심,1:1,월 2-3회,0승 0패,취미 유지,실내 코트,미사용,10만 원 미만
M375,33,F,서울 서초구,0-1년,주말 오전,미입력,온라인,주 2회,3승 3패,취미 유지,실내 코트,매일,30만 원 이상
M376,36,F,인천 연수구,5년 이상,주말 저녁,엄격한 피드백,온라인,주 2회,3승 3패,체력 증진,야외 코트,매일,10만 원 미만
M377,28,M,경기 성남시,3-5년,주말 오전,엄격한 피드백,온라인,월 2-3회,,실력 향상,실내 코트,주 1회 미만,10-30만 원
M378,42,F,광주 광산구,5년 이상,주말 오전,친절한 지도,1:1,월 1회 미만,,체력 증진,실내 코트,미사용,10-30만 원
M379,37,F,광주 광산구,5년 이상,주말 오전,친절한 지도,1:1,주 1회,0승 2패,실력 향상,시설 완비,주 1회 미만,10-30만 원
M380,45,F,대구 달서구,3-5년,주말 저녁,친절한 지도,1:1,주 2회,,실력 향상,실내 코트,주 1-2회,10만 원 미만
